"city","gjson"
"Jubail  ","[[49.619765,27.162609],[ 49.7164,27.310448],[ 49.477009,27.366255],[ 49.411121,27.183607],[ 49.365,27.056102],[ 49.411121,26.815527],[ 49.551682,26.879167],[ 49.784484,26.895811],[ 49.679239,26.998462],[ 49.686447,27.031151],[ 49.71091,27.10044],[ 49.602805,27.090799],[ 49.577074,27.136549],[ 49.619765,27.162609]]"
"Hafr Al-Batin  ","[[46.048515,28.436489],[ 46.039724,28.452631],[ 45.987702,28.466282],[ 45.948249,28.466563],[ 45.911501,28.445554],[ 45.910258,28.412823],[ 45.913244,28.392317],[ 45.939795,28.356214],[ 45.94324,28.29543],[ 46.160411,28.280185],[ 46.079309,28.409732],[ 46.048515,28.436489]]"
"Al-Kharj ","[[47.2593859259886,24.12270569792199],[ 47.27298826388972,24.13604787060567],[ 47.29489128769857,24.15325949298931],[ 47.32310804274253,24.16943422006189],[ 47.3253913338682,24.18364070646729],[ 47.33883799762923,24.18825769647658],[ 47.36335505192809,24.19047944776302],[ 47.37901042424714,24.19520716161358],[ 47.38955208070288,24.18721070558556],[ 47.37813920261499,24.17584823571454],[ 47.38277046476181,24.15629432140532],[ 47.393151220515,24.14336062828227],[ 47.38300487165333,24.13124366199066],[ 47.35625576584867,24.11616622992378],[ 47.33503983549895,24.13330704487523],[ 47.30722291128802,24.12027418638771],[ 47.29869235575484,24.09796115142281],[ 47.27980871279188,24.09281580977652],[ 47.26118778024184,24.10247984227839],[ 47.25745815808661,24.11825882721942],[ 47.2593859259886,24.12270569792199]]"
"Tabook  ","[[36.64319294319175,28.39761156128381],[ 36.6093357918305,28.42456467957759],[ 36.57329576081001,28.44741189021303],[ 36.55345458166051,28.46549556812451],[ 36.54046332431575,28.474059650847],[ 36.52601447205859,28.47440241233295],[ 36.49280802952806,28.46424285308466],[ 36.46682246090067,28.45724770810018],[ 36.44806768919864,28.44929684377171],[ 36.43943519933988,28.43754345327182],[ 36.42002454310583,28.41974661663486],[ 36.41753228886041,28.40927497695726],[ 36.45872615843003,28.36429132285807],[ 36.49693175826187,28.34212535169521],[ 36.5307893673175,28.34181993780601],[ 36.54917141977275,28.32503461293527],[ 36.58266230159969,28.32186223577686],[ 36.59634360312158,28.32853139334628],[ 36.60894328749308,28.33772920038517],[ 36.6222725752043,28.35927579199904],[ 36.64317257281199,28.37732929515241],[ 36.64319294319175,28.39761156128381]]"
"Majmaah ","[[45.42196429045964,25.94013885144232],[ 45.38746099050729,25.98178571166952],[ 45.34458908307208,25.97978468842499],[ 45.31196365961183,25.92571926647585],[ 45.31092174515034,25.88244837970589],[ 45.40516358989456,25.85792731744872],[ 45.42196429045964,25.94013885144232]]"
"Sabya  ","[[42.623978,17.181238],[ 42.660185,17.181852],[ 42.672401,17.173144],[ 42.699453,17.168465],[ 42.726509,17.179607],[ 42.744336,17.163794],[ 42.73633,17.144448],[ 42.720326,17.118066],[ 42.681576,17.098123],[ 42.657584,17.079358],[ 42.620697,17.086963],[ 42.597844,17.102581],[ 42.588139,17.110615],[ 42.58667,17.117255],[ 42.582608,17.1397],[ 42.58631,17.159044],[ 42.601075,17.171945],[ 42.623978,17.181238]]"
"Skaka  ","[[40.313699,30.02439],[ 40.198988,30.011397],[ 40.18412,30.019637],[ 40.134704,30.012982],[ 40.054541,29.981612],[ 39.985359,29.882746],[ 40.018303,29.772473],[ 40.242321,29.78293],[ 40.340054,29.864684],[ 40.389469,29.929327],[ 40.313699,30.02439]]"
"Dawadmi  ","[[44.49011485066384,24.54565702186667],[ 44.41444956564668,24.58401438833752],[ 44.31042640623949,24.54731612126584],[ 44.30738380094248,24.46317121669414],[ 44.43373096283303,24.42862491543436],[ 44.49011485066384,24.54565702186667]]"
"Hail  ","[[41.720456339147,27.5990228110633],[ 41.7189891935882,27.5994591060525],[ 41.7155642926117,27.5998974382773],[ 41.7145866799219,27.6003331348519],[ 41.7116538310748,27.60164014347381],[ 41.7092103472595,27.6029466441829],[ 41.7072544002883,27.6038197127309],[ 41.7048088099711,27.6046938549183],[ 41.7023635606993,27.6051298872468],[ 41.6979600340279,27.6042594641277],[ 41.6945372528746,27.6042587054937],[ 41.6906255622385,27.6038222365005],[ 41.6876921037029,27.6033861365407],[ 41.6857364840376,27.6029504251157],[ 41.6847590960932,27.6029500301145],[ 41.6813379241756,27.6025137130858],[ 41.6740082910167,27.6012060526566],[ 41.6705884725951,27.6003349884979],[ 41.6676575625609,27.59946423417],[ 41.6657040845642,27.59902865671331],[ 41.6617964462257,27.5972888747416],[ 41.6598436397058,27.5964183094103],[ 41.6564293427466,27.5946746792447],[ 41.6539899557126,27.5933687820868],[ 41.6500880406488,27.5911927218179],[ 41.6456991113905,27.5894521696907],[ 41.6388848923934,27.5868319851627],[ 41.6335452319539,27.5855080695976],[ 41.6311194653727,27.5846301100308],[ 41.6272402259778,27.5828784815347],[ 41.6233814101658,27.5802455394544],[ 41.6210206209615,27.5784543419527],[ 41.6196023316452,27.5775563029733],[ 41.6181850066264,27.576658835794],[ 41.6182173016713,27.574903356957],[ 41.620676955044,27.5709868234497],[ 41.6226188884792,27.5692571628494],[ 41.6264652167747,27.5679888000551],[ 41.6298210910812,27.56759070004661],[ 41.6317358516799,27.56761368487521],[ 41.6341308078643,27.5676424017688],[ 41.6365633464674,27.5676428362412],[ 41.6404656381311,27.5650347158746],[ 41.6405371735666,27.56281230709361],[ 41.6406229171096,27.5601491183457],[ 41.640250964126,27.557037391189],[ 41.6398510990143,27.5548158472219],[ 41.6394374141451,27.5530391933052],[ 41.6395411540619,27.5490863764744],[ 41.6395267463542,27.5482332051006],[ 41.6390242839814,27.5460884543411],[ 41.6389664955015,27.5426729083324],[ 41.6384565461576,27.5400993497446],[ 41.6379537367086,27.5379525417699],[ 41.637465453629,27.5366604458793],[ 41.6360154801627,27.5336395336117],[ 41.6350539982995,27.5319111077417],[ 41.633634646589,27.5306020611825],[ 41.6331393024858,27.52888310832351],[ 41.6267392552699,27.52677803999501],[ 41.6232868068466,27.5255119164222],[ 41.6218125358439,27.5255213890469],[ 41.6193498893453,27.5251074205127],[ 41.616890996149,27.5251230574887],[ 41.6144309446585,27.525138723272],[ 41.610985137022,27.5251606609263],[ 41.6090152702942,27.5251731639489],[ 41.6075374654738,27.5251825302961],[ 41.6055463205108,27.5234740694169],[ 41.6055109618128,27.5204615947182],[ 41.6054958094329,27.5191702088667],[ 41.6094283727447,27.5182863587954],[ 41.6128712835552,27.5178360143441],[ 41.6168310871342,27.5173741067058],[ 41.6197998320526,27.5164879582001],[ 41.6217775451045,27.5160414092239],[ 41.6247164732113,27.5151650143415],[ 41.6271589406895,27.5142930423474],[ 41.6299798668783,27.5130247424605],[ 41.630868250425,27.511755374662],[ 41.630808342226,27.5096145641283],[ 41.6292909054563,27.507041796243],[ 41.6268726038184,27.5048814746998],[ 41.6249156790635,27.5027273410921],[ 41.6228655565964,27.500162029828],[ 41.6203170410445,27.49759580945731],[ 41.619373255687,27.495861162856],[ 41.6175045268216,27.4932561077016],[ 41.6161017475532,27.4910887419007],[ 41.6133163841565,27.4880524884617],[ 41.6119230016946,27.4863211594361],[ 41.6096126353405,27.4841566489416],[ 41.6059205372982,27.4807010069071],[ 41.6036011229601,27.4776864992637],[ 41.6012942065049,27.475535456325],[ 41.5993044474261,27.4729618685048],[ 41.5978236106551,27.4712454862692],[ 41.5968035671962,27.4695278506606],[ 41.5957829581128,27.4678092253756],[ 41.5943255204734,27.4665213690769],[ 41.5923569217913,27.4643734534632],[ 41.5897995717664,27.4600694471582],[ 41.5873423838417,27.4574889306039],[ 41.5858573362278,27.4557672709422],[ 41.5843456058126,27.4536122304142],[ 41.5809133652366,27.4501691681543],[ 41.5798864157671,27.4484416800758],[ 41.5774624283319,27.4462920328954],[ 41.5760334438043,27.4437132608324],[ 41.5750021983232,27.4411216452867],[ 41.5718582076066,27.437210971687],[ 41.569853829181,27.4346156090943],[ 41.5683368764724,27.4324499270875],[ 41.566356812465,27.4302885402162],[ 41.5643762281184,27.4281264730146],[ 41.5628570658145,27.4259576699096],[ 41.5613640440552,27.42422550248],[ 41.5603871126537,27.4229306827547],[ 41.5589639937438,27.4207824398762],[ 41.5565727864849,27.418637588871],[ 41.554490974105,27.4164482251688],[ 41.5508520059141,27.4129371184819],[ 41.5465697331293,27.4090808089949],[ 41.5423196607213,27.4052362524773],[ 41.5409069924433,27.4035248397634],[ 41.5385550036704,27.4005305795122],[ 41.5371498091598,27.3979600134554],[ 41.5357454262024,27.3953907686812],[ 41.5348267838643,27.3910968544499],[ 41.5351583210023,27.38802278028931],[ 41.5350997665004,27.3871387716201],[ 41.5354096682304,27.3844829940499],[ 41.535233959881,27.3818242759305],[ 41.5360892978483,27.3800474013606],[ 41.5364589147497,27.3782697914927],[ 41.5378936070746,27.3765255149414],[ 41.5417784880479,27.3726186934949],[ 41.5427489932693,27.3713170618716],[ 41.5451737778524,27.3674131348741],[ 41.5466299980808,27.3656770549037],[ 41.5480862407041,27.3639409157308],[ 41.5495424683307,27.3622046864317],[ 41.551972181852,27.3604660116146],[ 41.5539151837529,27.3587284179336],[ 41.5553714412111,27.3569919721317],[ 41.5568287083895,27.3556886365747],[ 41.5587707473514,27.3535175670837],[ 41.5621752125032,27.3522090467994],[ 41.5655788032648,27.3504670817517],[ 41.5684956492504,27.3487262442207],[ 41.5719015671622,27.3478504697114],[ 41.64420177963699,27.3937092068217],[ 41.66609970763437,27.39232582370618],[ 41.69893312946509,27.37473573799659],[ 41.7129342482743,27.376124507003],[ 41.7173313465166,27.3774159944212],[ 41.7202651751043,27.3791423849333],[ 41.7222214912903,27.3804374545498],[ 41.7246645318017,27.381298829356],[ 41.7271102559872,27.3830257170312],[ 41.7315095622501,27.3851817749025],[ 41.7359102314616,27.3877703814657],[ 41.7388440019878,27.3894959630773],[ 41.7417763188265,27.3907886432793],[ 41.74373115314,27.3916503620615],[ 41.7471513568965,27.3929418585143],[ 41.7495949466629,27.3938076378261],[ 41.751548972918,27.3942428670746],[ 41.7569225043971,27.3959799530519],[ 41.7637555473373,27.397717269723],[ 41.7676575107159,27.3985857633977],[ 41.7720475574187,27.3998796841449],[ 41.777896602888,27.4002953109005],[ 41.7798455352459,27.4002901793121],[ 41.7817966502166,27.400715887294],[ 41.7881327078569,27.4011297608808],[ 41.7900814712215,27.4011244846944],[ 41.794961274588,27.4024032161561],[ 41.8013121183285,27.4049701418033],[ 41.8047319290559,27.4062529965181],[ 41.8066871979391,27.4071092753284],[ 41.8096235077366,27.4088250055793],[ 41.8106044791084,27.4096844797236],[ 41.8140323551858,27.4118304335398],[ 41.8145230342172,27.4122602858356],[ 41.8169768677319,27.4144098240028],[ 41.8199190060345,27.4165583084501],[ 41.8233547303091,27.41913601211351],[ 41.8253198044033,27.4204222150272],[ 41.8282688735107,27.4225690114791],[ 41.8297459139742,27.4242930156449],[ 41.8302395973653,27.425156548539],[ 41.8331909277219,27.4277390244232],[ 41.8361407699253,27.4298891814613],[ 41.8385981907241,27.4329127392579],[ 41.8410520202197,27.4350697189917],[ 41.8420375174668,27.4367993031779],[ 41.8430250419647,27.4389623170954],[ 41.8435237183941,27.4411273441215],[ 41.8440204666627,27.4428590052859],[ 41.8440283082314,27.4445925941632],[ 41.8440380951495,27.446759552834],[ 41.8440459372727,27.4484931432353],[ 41.8435687589392,27.4510953930894],[ 41.8421156168748,27.4541346775226],[ 41.8416364263605,27.4563034088905],[ 41.8411533477403,27.4576053595844],[ 41.8396962895124,27.4597776379875],[ 41.8377541917093,27.4628182790431],[ 41.8358078413628,27.4649921213485],[ 41.8343571866549,27.4675971735962],[ 41.8333902003522,27.4693340313505],[ 41.8324207690098,27.4706376022095],[ 41.8299933680202,27.473246628452],[ 41.8275632855326,27.4754224031727],[ 41.8246513732171,27.478900518609],[ 41.8222137744353,27.4797760799622],[ 41.8188013256954,27.4810885835842],[ 41.8144071562878,27.4815373250788],[ 41.8090399523915,27.4828564498608],[ 41.8065946193179,27.4832967410825],[ 41.804151061422,27.4841701746088],[ 41.8007367240906,27.4850490761605],[ 41.7968370474625,27.4863640376443],[ 41.7943956374342,27.4863729629058],[ 41.7909803899381,27.4872522623753],[ 41.7880482088597,27.4872616653566],[ 41.7831704548222,27.4894454199054],[ 41.7778053189337,27.492064323911],[ 41.774389356813,27.4933760446738],[ 41.7734171035172,27.494680174421],[ 41.7714776747388,27.4985897688526],[ 41.7709923239483,27.4994587849806],[ 41.770512153042,27.5016291274253],[ 41.7700319340147,27.5037995965965],[ 41.7695551059742,27.5068378162272],[ 41.7685841709306,27.5085761943103],[ 41.768102122023,27.5103132300091],[ 41.7671328074094,27.5124860797478],[ 41.7661667655189,27.5155271102761],[ 41.7651971997482,27.5177003150619],[ 41.7642358975836,27.5220441826688],[ 41.7637551794601,27.5242163702845],[ 41.7637651948283,27.5268206182025],[ 41.7632860543729,27.5294254831577],[ 41.7628035240497,27.5311624763394],[ 41.7618384431577,27.5346365448482],[ 41.7613640958497,27.5385449388124],[ 41.7608847008733,27.5411525487741],[ 41.7604068805574,27.5441947425495],[ 41.7599306298107,27.5476716840568],[ 41.7589632509005,27.5507163811881],[ 41.7579957145813,27.5537614527281],[ 41.7575142632239,27.5559363555547],[ 41.7565448357365,27.558547974024],[ 41.7555752381563,27.561159878251],[ 41.7541145594708,27.5633363923448],[ 41.752168892423,27.56681770466511],[ 41.7502213913407,27.5698647781506],[ 41.7472944729398,27.5729140592642],[ 41.7453438031353,27.5750900982726],[ 41.7433915414474,27.5768316183261],[ 41.74382267875637,27.58255232281252],[ 41.74451189122702,27.5874132005172],[ 41.74333911114885,27.58970618131801],[ 41.74076056726058,27.59189850126563],[ 41.73746070851221,27.59577543382832],[ 41.73310790053363,27.59714470608685],[ 41.72808022252763,27.5974365505605],[ 41.7259796109068,27.59742737443976],[ 41.72266572424826,27.59859605959509],[ 41.720456339147,27.5990228110633]]"
"Abha  ","[[42.62347,18.272949],[ 42.623274,18.272763],[ 42.641104,18.253741],[ 42.641111,18.253741],[ 42.641713,18.253707],[ 42.642517,18.253662],[ 42.64451,18.253551],[ 42.645216,18.253216],[ 42.645532,18.253066],[ 42.645611,18.252991],[ 42.648415,18.251618],[ 42.649741,18.251008],[ 42.653325,18.249176],[ 42.65935,18.244785],[ 42.659538,18.244648],[ 42.661607,18.24314],[ 42.661939,18.242898],[ 42.661937,18.242968],[ 42.661935,18.243013],[ 42.666689,18.239261],[ 42.675019,18.232074],[ 42.674342,18.228278],[ 42.671965,18.225855],[ 42.668737,18.226339],[ 42.666782,18.228116],[ 42.666642,18.228096],[ 42.665834,18.227979],[ 42.644131,18.224835],[ 42.643889,18.2248],[ 42.643793,18.224786],[ 42.643792,18.224786],[ 42.643727,18.224776],[ 42.643552,18.224751],[ 42.628123,18.229132],[ 42.621017,18.230024],[ 42.617504,18.230465],[ 42.609093,18.226275],[ 42.607803,18.222951],[ 42.605694,18.217514],[ 42.605345,18.217414],[ 42.604168,18.217076],[ 42.595078,18.214466],[ 42.589524,18.216801],[ 42.584658,18.218847],[ 42.584068,18.218973],[ 42.573036,18.221323],[ 42.570998,18.219909],[ 42.565627,18.216181],[ 42.56812,18.204312],[ 42.559229,18.202427],[ 42.55311,18.201286],[ 42.552966,18.200571],[ 42.553018,18.200563],[ 42.550823,18.188183],[ 42.550513,18.188405],[ 42.546345,18.191383],[ 42.53964,18.19334],[ 42.537754,18.192544],[ 42.531293,18.192013],[ 42.528045,18.190454],[ 42.525531,18.191051],[ 42.522737,18.19689],[ 42.520048,18.19689],[ 42.519244,18.196989],[ 42.517847,18.197719],[ 42.516276,18.197553],[ 42.515158,18.196226],[ 42.513203,18.195828],[ 42.511806,18.195563],[ 42.509731,18.195995],[ 42.506941,18.193787],[ 42.506951,18.191118],[ 42.504751,18.189957],[ 42.501084,18.190786],[ 42.499966,18.193051],[ 42.495077,18.192445],[ 42.49403,18.190122],[ 42.491829,18.190023],[ 42.489891,18.192904],[ 42.487721,18.191579],[ 42.482626,18.194725],[ 42.481521,18.195407],[ 42.480291,18.197076],[ 42.47864,18.199317],[ 42.477529,18.207403],[ 42.476406,18.218963],[ 42.473306,18.22338],[ 42.469363,18.224539],[ 42.465719,18.225825],[ 42.465953,18.232309],[ 42.468347,18.234128],[ 42.479971,18.233686],[ 42.479971,18.236631],[ 42.478421,18.240312],[ 42.469395,18.257461],[ 42.480281,18.259746],[ 42.482606,18.272997],[ 42.491906,18.274911],[ 42.495575,18.265172],[ 42.495829,18.264378],[ 42.497555,18.259914],[ 42.498726,18.251354],[ 42.510506,18.247379],[ 42.510726,18.247364],[ 42.511651,18.247042],[ 42.515041,18.247071],[ 42.517016,18.246937],[ 42.517161,18.246909],[ 42.525641,18.244483],[ 42.529725,18.242667],[ 42.532515,18.242962],[ 42.535615,18.241931],[ 42.535815,18.242064],[ 42.564192,18.260939],[ 42.576408,18.267225],[ 42.593038,18.264558],[ 42.604461,18.259416],[ 42.60546,18.262463],[ 42.607461,18.265701],[ 42.607258,18.269891],[ 42.609657,18.277319],[ 42.616668,18.277891],[ 42.62347,18.272949]]"
